package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.shopl.sdg.template.popup.SDGPopupBottomButtonPreview1,SDGPopupBottomButtonPreview1,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.popup.SDGPopupBottomButtonPreview2,SDGPopupBottomButtonPreview2,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.popup.PreviewSDGIconPopup,PreviewSDGIconPopup,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.popup.SDGProgressPopup,SDGProgressPopup,1,1,1,0,0,0,0,0,1,2,
com.shopl.sdg.template.profile.SDGProfileBasic,SDGProfileBasic,1,1,1,0,0,0,1,0,3,1,
com.shopl.sdg.template.profile.SDGProfileSecond,SDGProfileSecond,1,1,1,0,0,0,0,0,2,1,
com.shopl.sdg.template.profile.SDGProfileSecond,SDGProfileSecond,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.profile.SDGProfileMini,SDGProfileMini,1,1,1,0,0,0,0,0,2,1,
com.shopl.sdg.template.profile.SDGProfileSimple,SDGProfileSimple,1,1,1,0,0,0,0,0,2,1,
com.shopl.sdg.template.profile.PrevProfile,PrevProfile,1,1,1,0,0,0,0,0,1,1,
com.shopl.sdg.template.selected_input.SDGSelectedInputSingle,SDGSelectedInputSingle,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.template.selected_input.SDGSelectedInputTime,SDGSelectedInputTime,1,1,1,0,0,0,1,0,2,1,
com.shopl.sdg.template.selected_input.SDGSelectedInputPreview,SDGSelectedInputPreview,1,1,1,0,0,0,0,0,1,1,
